Server,Time Elapsed(s),Successful Requests,Failed Requests
time.apple.com,5,6,1
time.apple.com,7,7,0
time.apple.com,12,0,1
time.apple.com,18,4,1
time.apple.com,19,8,0
time.apple.com,20,8,0
time.apple.com,21,7,0
time.apple.com,22,6,0
time.apple.com,28,4,1
time.apple.com,34,6,1
time.asia.apple.com,1,7,0
time.asia.apple.com,6,4,1
time.asia.apple.com,7,6,0
time.asia.apple.com,12,0,1
time.asia.apple.com,18,3,1
time.asia.apple.com,19,7,0
time.asia.apple.com,25,3,1
time.asia.apple.com,31,6,1
time.euro.apple.com,1,7,0
time.euro.apple.com,2,7,0
time.euro.apple.com,7,2,1
time.euro.apple.com,8,7,0
time.euro.apple.com,9,7,0
time.euro.apple.com,10,7,0
time.euro.apple.com,11,7,0
time.euro.apple.com,12,7,0
time.euro.apple.com,14,7,0
time.euro.apple.com,15,7,0
time.euro.apple.com,16,7,0
time.euro.apple.com,17,7,0
time.euro.apple.com,18,7,0
time.euro.apple.com,23,2,1
time.euro.apple.com,29,1,1
time.euro.apple.com,34,2,1
time.cloudflare.com,1,7,0
time.cloudflare.com,2,7,0
time.cloudflare.com,3,7,0
time.cloudflare.com,4,7,0
time.cloudflare.com,5,7,0
time.cloudflare.com,6,7,0
time.cloudflare.com,7,8,0
time.cloudflare.com,8,7,0
time.cloudflare.com,9,7,0
time.cloudflare.com,10,8,0
time.cloudflare.com,11,8,0
time.cloudflare.com,12,8,0
time.cloudflare.com,13,7,0
time.cloudflare.com,14,7,0
time.cloudflare.com,16,8,0
time.cloudflare.com,17,7,0
time.cloudflare.com,18,8,0
time.cloudflare.com,19,7,0
time.cloudflare.com,20,8,0
time.cloudflare.com,21,8,0
time.cloudflare.com,22,8,0
time.cloudflare.com,23,7,0
time.cloudflare.com,24,7,0
time.cloudflare.com,25,7,0
time.cloudflare.com,26,8,0
time.cloudflare.com,28,8,0
time.cloudflare.com,29,8,0
time.facebook.com,1,7,0
time.facebook.com,2,8,0
time.facebook.com,3,8,0
time.facebook.com,4,8,0
time.facebook.com,5,7,0
time.facebook.com,6,7,0
time.facebook.com,7,7,0
time.facebook.com,8,8,0
time.facebook.com,9,8,0
time.facebook.com,10,7,0
time.facebook.com,11,7,0
time.facebook.com,12,8,0
time.facebook.com,13,7,0
time.facebook.com,14,7,0
time.facebook.com,16,8,0
time.facebook.com,17,8,0
time.facebook.com,18,7,0
time.facebook.com,19,8,0
time.facebook.com,20,8,0
time.facebook.com,21,7,0
time.facebook.com,22,6,0
time.facebook.com,23,8,0
time.facebook.com,24,8,0
time.facebook.com,25,7,0
time.facebook.com,27,7,0
time.facebook.com,28,7,0
time.facebook.com,29,8,0
time1.facebook.com,1,8,0
time1.facebook.com,2,8,0
time1.facebook.com,3,8,0
time1.facebook.com,4,7,0
time1.facebook.com,5,7,0
time1.facebook.com,6,8,0
time1.facebook.com,7,7,0
time1.facebook.com,8,7,0
time1.facebook.com,9,7,0
time1.facebook.com,10,8,0
time1.facebook.com,12,8,0
time1.facebook.com,13,7,0
time1.facebook.com,14,7,0
time1.facebook.com,15,7,0
time1.facebook.com,16,8,0
time1.facebook.com,17,7,0
time1.facebook.com,18,7,0
time1.facebook.com,19,8,0
time1.facebook.com,20,8,0
time1.facebook.com,21,8,0
time1.facebook.com,22,7,0
time1.facebook.com,23,7,0
time1.facebook.com,24,7,0
time1.facebook.com,26,7,0
time1.facebook.com,27,8,0
time1.facebook.com,28,7,0
time1.facebook.com,29,7,0
time2.facebook.com,1,7,0
time2.facebook.com,2,7,0
time2.facebook.com,3,7,0
time2.facebook.com,4,8,0
time2.facebook.com,5,7,0
time2.facebook.com,6,7,0
time2.facebook.com,7,7,0
time2.facebook.com,8,7,0
time2.facebook.com,9,7,0
time2.facebook.com,10,8,0
time2.facebook.com,11,7,0
time2.facebook.com,12,7,0
time2.facebook.com,13,7,0
time2.facebook.com,14,7,0
time2.facebook.com,15,7,0
time2.facebook.com,16,8,0
time2.facebook.com,18,8,0
time2.facebook.com,19,7,0
time2.facebook.com,20,7,0
time2.facebook.com,21,7,0
time2.facebook.com,22,7,0
time2.facebook.com,23,7,0
time2.facebook.com,24,7,0
time2.facebook.com,25,7,0
time2.facebook.com,26,7,0
time2.facebook.com,27,7,0
time2.facebook.com,28,7,0
time2.facebook.com,29,7,0
time3.facebook.com,1,7,0
time3.facebook.com,2,8,0
time3.facebook.com,3,7,0
time3.facebook.com,4,7,0
time3.facebook.com,5,7,0
time3.facebook.com,6,7,0
time3.facebook.com,7,7,0
time3.facebook.com,8,7,0
time3.facebook.com,9,7,0
time3.facebook.com,10,7,0
time3.facebook.com,11,7,0
time3.facebook.com,12,7,0
time3.facebook.com,13,7,0
time3.facebook.com,14,7,0
time3.facebook.com,15,7,0
time3.facebook.com,16,7,0
time3.facebook.com,17,7,0
time3.facebook.com,19,7,0
time3.facebook.com,20,7,0
time3.facebook.com,21,7,0
time3.facebook.com,22,7,0
time3.facebook.com,23,7,0
time3.facebook.com,24,7,0
time3.facebook.com,25,7,0
time3.facebook.com,26,7,0
time3.facebook.com,27,7,0
time3.facebook.com,28,7,0
time3.facebook.com,29,7,0
time4.facebook.com,1,7,0
time4.facebook.com,2,7,0
time4.facebook.com,3,8,0
time4.facebook.com,4,7,0
time4.facebook.com,5,8,0
time4.facebook.com,6,8,0
time4.facebook.com,7,8,0
time4.facebook.com,8,8,0
time4.facebook.com,9,8,0
time4.facebook.com,10,8,0
time4.facebook.com,11,8,0
time4.facebook.com,12,7,0
time4.facebook.com,13,7,0
time4.facebook.com,14,8,0
time4.facebook.com,16,8,0
time4.facebook.com,17,8,0
time4.facebook.com,18,8,0
time4.facebook.com,19,8,0
time4.facebook.com,20,7,0
time4.facebook.com,21,8,0
time4.facebook.com,22,8,0
time4.facebook.com,23,8,0
time4.facebook.com,24,8,0
time4.facebook.com,25,7,0
time4.facebook.com,26,8,0
time4.facebook.com,27,8,0
time4.facebook.com,28,8,0
time4.facebook.com,29,7,0
time5.facebook.com,1,7,0
time5.facebook.com,2,7,0
time5.facebook.com,3,6,0
time5.facebook.com,4,7,0
time5.facebook.com,5,7,0
time5.facebook.com,6,7,0
time5.facebook.com,7,7,0
time5.facebook.com,8,7,0
time5.facebook.com,9,7,0
time5.facebook.com,10,7,0
time5.facebook.com,12,5,0
time5.facebook.com,13,7,0
time5.facebook.com,14,7,0
time5.facebook.com,15,7,0
time5.facebook.com,16,6,0
time5.facebook.com,17,7,0
time5.facebook.com,18,7,0
time5.facebook.com,19,7,0
time5.facebook.com,21,7,0
time5.facebook.com,22,7,0
time5.facebook.com,23,6,0
time5.facebook.com,24,7,0
time5.facebook.com,25,7,0
time5.facebook.com,26,7,0
time5.facebook.com,27,7,0
time5.facebook.com,28,5,0
time5.facebook.com,29,6,0
time.android.com,1,7,0
time.android.com,2,7,0
time.android.com,3,8,0
time.android.com,4,6,0
time.android.com,5,7,0
time.android.com,6,7,0
time.android.com,7,7,0
time.android.com,8,7,0
time.android.com,9,7,0
time.android.com,10,7,0
time.android.com,11,7,0
time.android.com,12,7,0
time.android.com,13,7,0
time.android.com,14,7,0
time.android.com,16,7,0
time.android.com,17,7,0
time.android.com,18,8,0
time.android.com,19,7,0
time.android.com,20,7,0
time.android.com,21,7,0
time.android.com,22,7,0
time.android.com,23,7,0
time.android.com,24,7,0
time.android.com,25,7,0
time.android.com,26,7,0
time.android.com,27,7,0
time.android.com,29,7,0
time.android.com,30,7,0
time.google.com,1,7,0
time.google.com,2,7,0
time.google.com,3,7,0
time.google.com,4,7,0
time.google.com,5,7,0
time.google.com,6,7,0
time.google.com,7,6,0
time.google.com,8,6,0
time.google.com,9,7,0
time.google.com,10,8,0
time.google.com,11,7,0
time.google.com,12,7,0
time.google.com,13,7,0
time.google.com,14,6,0
time.google.com,15,7,0
time.google.com,16,7,0
time.google.com,18,7,0
time.google.com,19,6,0
time.google.com,20,7,0
time.google.com,21,8,0
time.google.com,22,7,0
time.google.com,23,6,0
time.google.com,24,7,0
time.google.com,25,7,0
time.google.com,26,7,0
time.google.com,27,7,0
time.google.com,28,7,0
time.google.com,29,7,0
time1.google.com,1,7,0
time1.google.com,2,7,0
time1.google.com,3,7,0
time1.google.com,4,7,0
time1.google.com,5,7,0
time1.google.com,6,7,0
time1.google.com,7,6,0
time1.google.com,8,7,0
time1.google.com,9,7,0
time1.google.com,10,7,0
time1.google.com,11,7,0
time1.google.com,12,8,0
time1.google.com,13,7,0
time1.google.com,14,7,0
time1.google.com,16,7,0
time1.google.com,17,8,0
time1.google.com,18,7,0
time1.google.com,19,6,0
time1.google.com,20,7,0
time1.google.com,21,7,0
time1.google.com,22,7,0
time1.google.com,23,8,0
time1.google.com,24,7,0
time1.google.com,25,7,0
time1.google.com,26,7,0
time1.google.com,27,7,0
time1.google.com,28,7,0
time1.google.com,29,7,0
time2.google.com,1,7,0
time2.google.com,2,7,0
time2.google.com,3,7,0
time2.google.com,4,7,0
time2.google.com,5,7,0
time2.google.com,6,7,0
time2.google.com,7,6,0
time2.google.com,8,7,0
time2.google.com,9,7,0
time2.google.com,10,7,0
time2.google.com,11,7,0
time2.google.com,12,7,0
time2.google.com,14,8,0
time2.google.com,15,7,0
time2.google.com,16,8,0
time2.google.com,17,7,0
time2.google.com,18,7,0
time2.google.com,19,7,0
time2.google.com,20,8,0
time2.google.com,21,7,0
time2.google.com,22,7,0
time2.google.com,23,7,0
time2.google.com,25,7,0
time2.google.com,26,7,0
time2.google.com,27,8,0
time2.google.com,28,7,0
time2.google.com,29,7,0
time3.google.com,1,7,0
time3.google.com,2,7,0
time3.google.com,3,7,0
time3.google.com,4,7,0
time3.google.com,5,7,0
time3.google.com,6,7,0
time3.google.com,7,7,0
time3.google.com,8,7,0
time3.google.com,9,7,0
time3.google.com,10,7,0
time3.google.com,11,7,0
time3.google.com,12,7,0
time3.google.com,13,7,0
time3.google.com,14,7,0
time3.google.com,15,7,0
time3.google.com,17,6,0
time3.google.com,18,3,0
time3.google.com,19,6,0
time3.google.com,20,7,0
time3.google.com,21,7,0
time3.google.com,22,7,0
time3.google.com,23,8,0
time3.google.com,24,7,0
time3.google.com,25,8,0
time3.google.com,27,7,0
time3.google.com,28,8,0
time3.google.com,29,8,0
time4.google.com,1,7,0
time4.google.com,2,8,0
time4.google.com,3,8,0
time4.google.com,4,7,0
time4.google.com,5,8,0
time4.google.com,6,7,0
time4.google.com,7,8,0
time4.google.com,8,8,0
time4.google.com,9,8,0
time4.google.com,10,7,0
time4.google.com,12,8,0
time4.google.com,13,8,0
time4.google.com,14,8,0
time4.google.com,15,8,0
time4.google.com,16,8,0
time4.google.com,17,8,0
time4.google.com,18,7,0
time4.google.com,19,8,0
time4.google.com,20,8,0
time4.google.com,21,7,0
time4.google.com,23,7,0
time4.google.com,24,8,0
time4.google.com,25,8,0
time4.google.com,26,8,0
time4.google.com,27,7,0
time4.google.com,28,7,0
time4.google.com,29,8,0
time.windows.com,1,7,0
time.windows.com,2,8,0
time.windows.com,3,8,0
time.windows.com,4,7,0
time.windows.com,5,7,0
time.windows.com,6,7,0
time.windows.com,7,8,0
time.windows.com,8,7,0
time.windows.com,9,7,0
time.windows.com,10,7,0
time.windows.com,11,7,0
time.windows.com,12,7,0
time.windows.com,13,8,0
time.windows.com,14,7,0
time.windows.com,16,7,0
time.windows.com,17,8,0
time.windows.com,18,8,0
time.windows.com,19,8,0
time.windows.com,20,7,0
time.windows.com,21,6,0
time.windows.com,22,7,0
time.windows.com,23,8,0
time.windows.com,24,7,0
time.windows.com,25,7,0
time.windows.com,26,7,0
time.windows.com,28,8,0
time.windows.com,29,7,0
time-a-b.nist.gov,1,4,0
time-a-b.nist.gov,2,4,0
time-a-b.nist.gov,3,4,0
time-a-b.nist.gov,4,4,0
time-a-b.nist.gov,5,4,0
time-a-b.nist.gov,6,4,0
time-a-b.nist.gov,7,4,0
time-a-b.nist.gov,8,4,0
time-a-b.nist.gov,10,4,0
time-a-b.nist.gov,11,4,0
time-a-b.nist.gov,12,4,0
time-a-b.nist.gov,13,4,0
time-a-b.nist.gov,14,4,0
time-a-b.nist.gov,15,4,0
time-a-b.nist.gov,16,4,0
time-a-b.nist.gov,17,4,0
time-a-b.nist.gov,19,4,0
time-a-b.nist.gov,20,4,0
time-a-b.nist.gov,21,4,0
time-a-b.nist.gov,22,4,0
time-a-b.nist.gov,23,4,0
time-a-b.nist.gov,24,4,0
time-a-b.nist.gov,25,4,0
time-a-b.nist.gov,26,4,0
time-a-b.nist.gov,28,4,0
time-a-b.nist.gov,29,4,0
time-a-g.nist.gov,1,5,0
time-a-g.nist.gov,2,5,0
time-a-g.nist.gov,3,5,0
time-a-g.nist.gov,4,5,0
time-a-g.nist.gov,5,5,0
time-a-g.nist.gov,6,5,0
time-a-g.nist.gov,7,5,0
time-a-g.nist.gov,8,5,0
time-a-g.nist.gov,10,5,0
time-a-g.nist.gov,11,5,0
time-a-g.nist.gov,12,5,0
time-a-g.nist.gov,13,5,0
time-a-g.nist.gov,14,5,0
time-a-g.nist.gov,15,5,0
time-a-g.nist.gov,16,5,0
time-a-g.nist.gov,17,5,0
time-a-g.nist.gov,18,5,0
time-a-g.nist.gov,19,5,0
time-a-g.nist.gov,21,5,0
time-a-g.nist.gov,22,5,0
time-a-g.nist.gov,23,5,0
time-a-g.nist.gov,24,5,0
time-a-g.nist.gov,25,5,0
time-a-g.nist.gov,26,5,0
time-a-g.nist.gov,27,5,0
time-a-g.nist.gov,28,5,0
time-a-g.nist.gov,29,5,0
time-a-wwv.nist.gov,1,4,0
time-a-wwv.nist.gov,2,4,0
time-a-wwv.nist.gov,3,4,0
time-a-wwv.nist.gov,4,4,0
time-a-wwv.nist.gov,5,4,0
time-a-wwv.nist.gov,6,4,0
time-a-wwv.nist.gov,7,4,0
time-a-wwv.nist.gov,8,4,0
time-a-wwv.nist.gov,10,4,0
time-a-wwv.nist.gov,11,4,0
time-a-wwv.nist.gov,12,4,0
time-a-wwv.nist.gov,13,4,0
time-a-wwv.nist.gov,14,4,0
time-a-wwv.nist.gov,15,4,0
time-a-wwv.nist.gov,16,4,0
time-a-wwv.nist.gov,17,4,0
time-a-wwv.nist.gov,19,4,0
time-a-wwv.nist.gov,20,4,0
time-a-wwv.nist.gov,21,4,0
time-a-wwv.nist.gov,22,4,0
time-a-wwv.nist.gov,23,4,0
time-a-wwv.nist.gov,24,4,0
time-a-wwv.nist.gov,25,4,0
time-a-wwv.nist.gov,27,4,0
time-a-wwv.nist.gov,28,4,0
time-a-wwv.nist.gov,29,4,0
time-b-b.nist.gov,1,4,0
time-b-b.nist.gov,2,4,0
time-b-b.nist.gov,3,4,0
time-b-b.nist.gov,4,4,0
time-b-b.nist.gov,5,4,0
time-b-b.nist.gov,6,4,0
time-b-b.nist.gov,7,4,0
time-b-b.nist.gov,9,4,0
time-b-b.nist.gov,10,4,0
time-b-b.nist.gov,11,4,0
time-b-b.nist.gov,12,4,0
time-b-b.nist.gov,13,4,0
time-b-b.nist.gov,14,4,0
time-b-b.nist.gov,15,4,0
time-b-b.nist.gov,16,4,0
time-b-b.nist.gov,17,4,0
time-b-b.nist.gov,19,4,0
time-b-b.nist.gov,20,4,0
time-b-b.nist.gov,21,4,0
time-b-b.nist.gov,22,4,0
time-b-b.nist.gov,23,4,0
time-b-b.nist.gov,24,4,0
time-b-b.nist.gov,25,4,0
time-b-b.nist.gov,26,4,0
time-b-b.nist.gov,28,4,0
time-b-b.nist.gov,29,4,0
time-b-b.nist.gov,30,4,0
time-b-g.nist.gov,1,5,0
time-b-g.nist.gov,2,5,0
time-b-g.nist.gov,3,5,0
time-b-g.nist.gov,4,5,0
time-b-g.nist.gov,5,5,0
time-b-g.nist.gov,6,5,0
time-b-g.nist.gov,7,5,0
time-b-g.nist.gov,8,5,0
time-b-g.nist.gov,9,5,0
time-b-g.nist.gov,11,5,0
time-b-g.nist.gov,12,5,0
time-b-g.nist.gov,13,5,0
time-b-g.nist.gov,14,5,0
time-b-g.nist.gov,15,5,0
time-b-g.nist.gov,16,5,0
time-b-g.nist.gov,17,5,0
time-b-g.nist.gov,18,5,0
time-b-g.nist.gov,19,5,0
time-b-g.nist.gov,21,5,0
time-b-g.nist.gov,22,5,0
time-b-g.nist.gov,23,5,0
time-b-g.nist.gov,24,5,0
time-b-g.nist.gov,25,5,0
time-b-g.nist.gov,26,5,0
time-b-g.nist.gov,27,5,0
time-b-g.nist.gov,28,5,0
time-b-g.nist.gov,29,5,0
time-b-wwv.nist.gov,1,4,0
time-b-wwv.nist.gov,2,4,0
time-b-wwv.nist.gov,3,4,0
time-b-wwv.nist.gov,4,4,0
time-b-wwv.nist.gov,5,4,0
time-b-wwv.nist.gov,6,4,0
time-b-wwv.nist.gov,7,4,0
time-b-wwv.nist.gov,9,4,0
time-b-wwv.nist.gov,10,4,0
time-b-wwv.nist.gov,11,4,0
time-b-wwv.nist.gov,12,4,0
time-b-wwv.nist.gov,13,4,0
time-b-wwv.nist.gov,14,4,0
time-b-wwv.nist.gov,15,4,0
time-b-wwv.nist.gov,16,4,0
time-b-wwv.nist.gov,18,4,0
time-b-wwv.nist.gov,19,4,0
time-b-wwv.nist.gov,20,4,0
time-b-wwv.nist.gov,21,4,0
time-b-wwv.nist.gov,22,4,0
time-b-wwv.nist.gov,23,4,0
time-b-wwv.nist.gov,24,4,0
time-b-wwv.nist.gov,25,4,0
time-b-wwv.nist.gov,26,4,0
time-b-wwv.nist.gov,28,4,0
time-b-wwv.nist.gov,29,4,0
time-c-b.nist.gov,1,4,0
time-c-b.nist.gov,2,4,0
time-c-b.nist.gov,3,4,0
time-c-b.nist.gov,4,4,0
time-c-b.nist.gov,5,4,0
time-c-b.nist.gov,6,4,0
time-c-b.nist.gov,7,4,0
time-c-b.nist.gov,8,4,0
time-c-b.nist.gov,10,4,0
time-c-b.nist.gov,11,4,0
time-c-b.nist.gov,12,4,0
time-c-b.nist.gov,13,4,0
time-c-b.nist.gov,14,4,0
time-c-b.nist.gov,15,4,0
time-c-b.nist.gov,16,4,0
time-c-b.nist.gov,17,4,0
time-c-b.nist.gov,18,4,0
time-c-b.nist.gov,20,4,0
time-c-b.nist.gov,21,4,0
time-c-b.nist.gov,22,4,0
time-c-b.nist.gov,23,4,0
time-c-b.nist.gov,24,4,0
time-c-b.nist.gov,25,4,0
time-c-b.nist.gov,26,4,0
time-c-b.nist.gov,27,4,0
time-c-b.nist.gov,29,4,0
time-c-b.nist.gov,30,4,0
time-c-g.nist.gov,1,4,0
time-c-g.nist.gov,2,5,0
time-c-g.nist.gov,7,3,1
time-c-g.nist.gov,9,5,0
time-c-g.nist.gov,10,5,0
time-c-g.nist.gov,11,5,0
time-c-g.nist.gov,12,5,0
time-c-g.nist.gov,13,5,0
time-c-g.nist.gov,14,5,0
time-c-g.nist.gov,15,5,0
time-c-g.nist.gov,16,5,0
time-c-g.nist.gov,17,5,0
time-c-g.nist.gov,19,5,0
time-c-g.nist.gov,20,5,0
time-c-g.nist.gov,25,0,1
time-c-g.nist.gov,26,5,0
time-c-g.nist.gov,27,5,0
time-c-g.nist.gov,28,5,0
time-c-g.nist.gov,29,5,0
time-c-wwv.nist.gov,1,4,0
time-c-wwv.nist.gov,2,4,0
time-c-wwv.nist.gov,3,4,0
time-c-wwv.nist.gov,4,4,0
time-c-wwv.nist.gov,5,4,0
time-c-wwv.nist.gov,6,4,0
time-c-wwv.nist.gov,7,4,0
time-c-wwv.nist.gov,9,4,0
time-c-wwv.nist.gov,10,4,0
time-c-wwv.nist.gov,11,4,0
time-c-wwv.nist.gov,12,4,0
time-c-wwv.nist.gov,13,4,0
time-c-wwv.nist.gov,14,4,0
time-c-wwv.nist.gov,15,4,0
time-c-wwv.nist.gov,16,4,0
time-c-wwv.nist.gov,17,4,0
time-c-wwv.nist.gov,19,4,0
time-c-wwv.nist.gov,20,4,0
time-c-wwv.nist.gov,21,4,0
time-c-wwv.nist.gov,22,4,0
time-c-wwv.nist.gov,23,4,0
time-c-wwv.nist.gov,24,4,0
time-c-wwv.nist.gov,25,4,0
time-c-wwv.nist.gov,26,4,0
time-c-wwv.nist.gov,27,4,0
time-c-wwv.nist.gov,29,4,0
time-c-wwv.nist.gov,30,4,0
time-d-b.nist.gov,1,4,0
time-d-b.nist.gov,2,4,0
time-d-b.nist.gov,3,4,0
time-d-b.nist.gov,4,4,0
time-d-b.nist.gov,5,4,0
time-d-b.nist.gov,6,4,0
time-d-b.nist.gov,7,4,0
time-d-b.nist.gov,8,4,0
time-d-b.nist.gov,10,4,0
time-d-b.nist.gov,11,4,0
time-d-b.nist.gov,12,4,0
time-d-b.nist.gov,13,4,0
time-d-b.nist.gov,14,4,0
time-d-b.nist.gov,15,4,0
time-d-b.nist.gov,16,4,0
time-d-b.nist.gov,17,4,0
time-d-b.nist.gov,19,4,0
time-d-b.nist.gov,20,4,0
time-d-b.nist.gov,21,4,0
time-d-b.nist.gov,22,4,0
time-d-b.nist.gov,23,4,0
time-d-b.nist.gov,24,4,0
time-d-b.nist.gov,25,4,0
time-d-b.nist.gov,26,4,0
time-d-b.nist.gov,27,4,0
time-d-b.nist.gov,29,4,0
time-d-b.nist.gov,30,4,0
time-d-g.nist.gov,1,5,0
time-d-g.nist.gov,2,5,0
time-d-g.nist.gov,3,5,0
time-d-g.nist.gov,4,5,0
time-d-g.nist.gov,5,5,0
time-d-g.nist.gov,6,5,0
time-d-g.nist.gov,7,5,0
time-d-g.nist.gov,8,5,0
time-d-g.nist.gov,9,5,0
time-d-g.nist.gov,10,5,0
time-d-g.nist.gov,12,5,0
time-d-g.nist.gov,13,5,0
time-d-g.nist.gov,14,5,0
time-d-g.nist.gov,15,5,0
time-d-g.nist.gov,16,5,0
time-d-g.nist.gov,17,5,0
time-d-g.nist.gov,18,5,0
time-d-g.nist.gov,19,5,0
time-d-g.nist.gov,20,5,0
time-d-g.nist.gov,21,5,0
time-d-g.nist.gov,23,5,0
time-d-g.nist.gov,24,5,0
time-d-g.nist.gov,25,5,0
time-d-g.nist.gov,26,5,0
time-d-g.nist.gov,27,5,0
time-d-g.nist.gov,28,5,0
time-d-g.nist.gov,29,5,0
time-d-wwv.nist.gov,1,4,0
time-d-wwv.nist.gov,2,4,0
time-d-wwv.nist.gov,3,4,0
time-d-wwv.nist.gov,4,4,0
time-d-wwv.nist.gov,5,4,0
time-d-wwv.nist.gov,6,4,0
time-d-wwv.nist.gov,7,4,0
time-d-wwv.nist.gov,8,4,0
time-d-wwv.nist.gov,10,4,0
time-d-wwv.nist.gov,11,4,0
time-d-wwv.nist.gov,12,4,0
time-d-wwv.nist.gov,13,4,0
time-d-wwv.nist.gov,14,4,0
time-d-wwv.nist.gov,15,4,0
time-d-wwv.nist.gov,16,4,0
time-d-wwv.nist.gov,17,4,0
time-d-wwv.nist.gov,18,4,0
time-d-wwv.nist.gov,20,4,0
time-d-wwv.nist.gov,21,4,0
time-d-wwv.nist.gov,22,4,0
time-d-wwv.nist.gov,23,4,0
time-d-wwv.nist.gov,24,4,0
time-d-wwv.nist.gov,25,4,0
time-d-wwv.nist.gov,26,4,0
time-d-wwv.nist.gov,27,4,0
time-d-wwv.nist.gov,29,4,0
time-d-wwv.nist.gov,30,4,0
time-e-b.nist.gov,1,4,0
time-e-b.nist.gov,2,4,0
time-e-b.nist.gov,3,4,0
time-e-b.nist.gov,4,4,0
time-e-b.nist.gov,5,4,0
time-e-b.nist.gov,6,4,0
time-e-b.nist.gov,7,4,0
time-e-b.nist.gov,8,4,0
time-e-b.nist.gov,10,4,0
time-e-b.nist.gov,11,4,0
time-e-b.nist.gov,12,4,0
time-e-b.nist.gov,13,4,0
time-e-b.nist.gov,14,4,0
time-e-b.nist.gov,15,4,0
time-e-b.nist.gov,16,4,0
time-e-b.nist.gov,17,4,0
time-e-b.nist.gov,19,4,0
time-e-b.nist.gov,20,4,0
time-e-b.nist.gov,21,4,0
time-e-b.nist.gov,22,4,0
time-e-b.nist.gov,23,4,0
time-e-b.nist.gov,24,4,0
time-e-b.nist.gov,25,4,0
time-e-b.nist.gov,26,4,0
time-e-b.nist.gov,27,4,0
time-e-b.nist.gov,29,4,0
time-e-b.nist.gov,30,4,0
time.nist.gov,1,4,0
time.nist.gov,2,4,0
time.nist.gov,3,4,0
time.nist.gov,4,4,0
time.nist.gov,5,4,0
time.nist.gov,6,4,0
time.nist.gov,7,4,0
time.nist.gov,8,4,0
time.nist.gov,10,4,0
time.nist.gov,11,4,0
time.nist.gov,12,4,0
time.nist.gov,13,4,0
time.nist.gov,14,4,0
time.nist.gov,15,4,0
time.nist.gov,16,4,0
time.nist.gov,17,4,0
time.nist.gov,19,4,0
time.nist.gov,20,4,0
time.nist.gov,21,4,0
time.nist.gov,22,4,0
time.nist.gov,23,4,0
time.nist.gov,24,4,0
time.nist.gov,25,4,0
time.nist.gov,26,4,0
time.nist.gov,28,4,0
time.nist.gov,29,4,0
utcnist.colorado.edu,1,4,0
utcnist.colorado.edu,2,4,0
utcnist.colorado.edu,3,4,0
utcnist.colorado.edu,4,4,0
utcnist.colorado.edu,5,4,0
utcnist.colorado.edu,6,4,0
utcnist.colorado.edu,8,4,0
utcnist.colorado.edu,9,4,0
utcnist.colorado.edu,10,4,0
utcnist.colorado.edu,11,4,0
utcnist.colorado.edu,12,4,0
utcnist.colorado.edu,13,4,0
utcnist.colorado.edu,14,4,0
utcnist.colorado.edu,15,4,0
utcnist.colorado.edu,17,4,0
utcnist.colorado.edu,18,4,0
utcnist.colorado.edu,19,4,0
utcnist.colorado.edu,20,4,0
utcnist.colorado.edu,21,4,0
utcnist.colorado.edu,22,4,0
utcnist.colorado.edu,23,4,0
utcnist.colorado.edu,24,4,0
utcnist.colorado.edu,25,4,0
utcnist.colorado.edu,27,4,0
utcnist.colorado.edu,28,4,0
utcnist.colorado.edu,29,4,0
utcnist2.colorado.edu,1,4,0
utcnist2.colorado.edu,2,4,0
utcnist2.colorado.edu,3,4,0
utcnist2.colorado.edu,4,4,0
utcnist2.colorado.edu,5,4,0
utcnist2.colorado.edu,6,4,0
utcnist2.colorado.edu,7,4,0
utcnist2.colorado.edu,9,4,0
utcnist2.colorado.edu,10,4,0
utcnist2.colorado.edu,11,4,0
utcnist2.colorado.edu,12,4,0
utcnist2.colorado.edu,13,4,0
utcnist2.colorado.edu,14,4,0
utcnist2.colorado.edu,15,4,0
utcnist2.colorado.edu,17,4,0
utcnist2.colorado.edu,18,4,0
utcnist2.colorado.edu,19,4,0
utcnist2.colorado.edu,20,4,0
utcnist2.colorado.edu,21,4,0
utcnist2.colorado.edu,22,4,0
utcnist2.colorado.edu,23,4,0
utcnist2.colorado.edu,24,4,0
utcnist2.colorado.edu,25,4,0
utcnist2.colorado.edu,27,4,0
utcnist2.colorado.edu,28,4,0
utcnist2.colorado.edu,29,4,0
pool.ntp.org,5,1,1
pool.ntp.org,10,0,1
pool.ntp.org,16,6,1
pool.ntp.org,22,6,1
pool.ntp.org,28,4,1
pool.ntp.org,29,8,0
hora.roa.es,1,6,0
hora.roa.es,2,6,0
hora.roa.es,3,6,0
hora.roa.es,4,6,0
hora.roa.es,5,6,0
hora.roa.es,6,6,0
